money,coffee_name
23.02,Cortado
23.02,Cortado
23.02,Cortado
23.02,Cortado
23.02,Cortado
23.02,Americano
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Hot Chocolate
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
18.12,Espresso
32.82,Latte
23.02,Americano
32.82,Latte
32.82,Latte
32.82,Cappuccino
32.82,Latte
32.82,Hot Chocolate
32.82,Cappuccino
23.02,Cortado
23.02,Cortado
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
32.82,Latte
27.92,Americano with Milk
23.02,Americano
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
32.82,Latte
23.02,Cortado
18.12,Espresso
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
23.02,Cortado
23.02,Cortado
23.02,Cortado
23.02,Cortado
32.82,Latte
23.02,Americano
32.82,Cappuccino
23.02,Cortado
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
18.12,Espresso
27.92,Americano with Milk
23.02,Americano
23.02,Cortado
23.02,Cortado
32.82,Cappuccino
32.82,Latte
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
18.12,Espresso
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
32.82,Latte
32.82,Hot Chocolate
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Hot Chocolate
32.82,Hot Chocolate
32.82,Latte
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
23.02,Americano
27.92,Americano with Milk
23.02,Cortado
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
23.02,Cortado
23.02,Cortado
32.82,Cappuccino
32.82,Latte
32.82,Latte
32.82,Latte
23.02,Americano
23.02,Americano
32.82,Latte
32.82,Latte
27.92,Americano with Milk
23.02,Americano
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Latte
23.02,Cortado
23.02,Cortado
27.92,Americano with Milk
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Cocoa
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Hot Chocolate
32.82,Hot Chocolate
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
23.02,Americano
27.92,Americano with Milk
32.82,Cappuccino
23.02,Americano
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
23.02,Cortado
32.82,Cappuccino
32.82,Latte
23.02,Americano
23.02,Americano
32.82,Hot Chocolate
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
18.12,Espresso
32.82,Cappuccino
32.82,Latte
32.82,Latte
32.82,Latte
23.02,Cortado
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
23.02,Americano
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Cappuccino
32.82,Cappuccino
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Cocoa
25.96,Cortado
35.76,Hot Chocolate
25.96,Americano
35.76,Cappuccino
35.76,Cappuccino
35.76,Cappuccino
30.86,Americano with Milk
35.76,Latte
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Latte
25.96,Cortado
25.96,Cortado
35.76,Hot Chocolate
30.86,Americano with Milk
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
25.96,Americano
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cocoa
30.86,Americano with Milk
25.96,Cortado
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Hot Chocolate
25.96,Americano
25.96,Americano
30.86,Americano with Milk
25.96,Americano
25.96,Cortado
25.96,Cortado
35.76,Latte
35.76,Hot Chocolate
35.76,Cocoa
25.96,Cortado
25.96,Cortado
35.76,Cocoa
35.76,Cappuccino
25.96,Americano
25.96,Americano
25.96,Cortado
35.76,Cappuccino
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
25.96,Americano
35.76,Cappuccino
30.86,Americano with Milk
35.76,Latte
35.76,Cappuccino
35.76,Cappuccino
21.06,Espresso
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Cocoa
35.76,Latte
30.86,Americano with Milk
25.96,Americano
25.96,Americano
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
35.76,Latte
35.76,Latte
25.96,Americano
25.96,Americano
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
21.06,Espresso
25.96,Americano
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
25.96,Americano
21.06,Espresso
35.76,Cappuccino
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
25.96,Cortado
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Latte
25.96,Cortado
35.76,Latte
35.76,Cocoa
35.76,Cocoa
30.86,Americano with Milk
35.76,Hot Chocolate
30.86,Americano with Milk
25.96,Cortado
25.96,Americano
25.96,Americano
30.86,Americano with Milk
35.76,Latte
25.96,Americano
25.96,Americano
35.76,Cocoa
25.96,Americano
35.76,Cappuccino
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Hot Chocolate
25.96,Cortado
25.96,Cortado
25.96,Cortado
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
25.96,Cortado
21.06,Espresso
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Cappuccino
30.86,Americano with Milk
35.76,Cocoa
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
25.96,Americano
25.96,Americano
35.76,Latte
35.76,Latte
25.96,Americano
35.76,Latte
35.76,Cappuccino
35.76,Latte
35.76,Latte
35.76,Latte
25.96,Cortado
21.06,Espresso
35.76,Hot Chocolate
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
35.76,Latte
25.96,Americano
21.06,Espresso
35.76,Hot Chocolate
25.96,Americano
35.76,Cocoa
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
25.96,Americano
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Latte
25.96,Americano
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Cocoa
35.76,Cocoa
35.76,Cocoa
35.76,Cocoa
35.76,Cappuccino
35.76,Cappuccino
35.76,Latte
35.76,Cappuccino
25.96,Americano
35.76,Latte
35.76,Hot Chocolate
35.76,Cocoa
35.76,Cocoa
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Cocoa
35.76,Cappuccino
35.76,Latte
35.76,Cocoa
35.76,Latte
35.76,Hot Chocolate
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Cocoa
35.76,Cocoa
35.76,Hot Chocolate
25.96,Cortado
35.76,Cocoa
35.76,Latte
35.76,Cappuccino
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Latte
25.96,Americano
25.96,Cortado
25.96,Cortado
21.06,Espresso
35.76,Cappuccino
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
35.76,Cocoa
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
25.96,Cortado
21.06,Espresso
25.96,Cortado
25.96,Americano
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
21.06,Espresso
35.76,Cocoa
35.76,Cappuccino
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
25.96,Americano
35.76,Cappuccino
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Latte
25.96,Americano
25.96,Americano
35.76,Latte
25.96,Americano
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Cappuccino
21.06,Espresso
35.76,Cocoa
35.76,Latte
35.76,Cocoa
25.96,Americano
25.96,Americano
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
25.96,Cortado
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
21.06,Espresso
35.76,Cappuccino
25.96,Cortado
35.76,Cappuccino
25.96,Americano
35.76,Cocoa
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
25.96,Cortado
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
35.76,Cappuccino
25.96,Americano
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
35.76,Cocoa
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
30.86,Americano with Milk
21.06,Espresso
25.96,Cortado
25.96,Cortado
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Cocoa
35.76,Cocoa
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
25.96,Americano
30.86,Americano with Milk
25.96,Americano
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
35.76,Cocoa
25.96,Americano
35.76,Latte
35.76,Cocoa
35.76,Cocoa
25.96,Cortado
30.86,Americano with Milk
25.96,Cortado
35.76,Cocoa
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
35.76,Cocoa
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Hot Chocolate
25.96,Americano
25.96,Americano
35.76,Cocoa
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
35.76,Cocoa
30.86,Americano with Milk
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cocoa
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Cappuccino
35.76,Cappuccino
35.76,Cocoa
35.76,Cocoa
35.76,Hot Chocolate
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Latte
21.06,Espresso
25.96,Americano
35.76,Cappuccino
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
25.96,Americano
25.96,Americano
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
25.96,Americano
35.76,Cappuccino
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
25.96,Cortado
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
25.96,Americano
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
25.96,Americano
35.76,Latte
35.76,Cocoa
25.96,Americano
25.96,Americano
25.96,Americano
35.76,Cocoa
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Cappuccino
35.76,Cappuccino
30.86,Americano with Milk
25.96,Cortado
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cocoa
35.76,Cappuccino
35.76,Latte
35.76,Cocoa
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
25.96,Americano
21.06,Espresso
35.76,Cappuccino
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
25.96,Cortado
35.76,Hot Chocolate
35.76,Latte
25.96,Americano
35.76,Cappuccino
30.86,Americano with Milk
35.76,Latte
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Cocoa
30.86,Americano with Milk
35.76,Latte
21.06,Espresso
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
35.76,Cocoa
35.76,Cappuccino
35.76,Cappuccino
30.86,Americano with Milk
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
25.96,Cortado
35.76,Latte
35.76,Cocoa
35.76,Cocoa
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
35.76,Hot Chocolate
35.76,Latte
35.76,Cappuccino
35.76,Latte
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
25.96,Cortado
25.96,Cortado
35.76,Latte
35.76,Cappuccino
25.96,Americano
25.96,Americano
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Latte
35.76,Cocoa
25.96,Americano
35.76,Cocoa
35.76,Cocoa
35.76,Latte
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Cocoa
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Cocoa
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
35.76,Cocoa
25.96,Americano
35.76,Hot Chocolate
35.76,Cocoa
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
35.76,Cappuccino
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Cocoa
25.96,Cortado
21.06,Espresso
35.76,Cappuccino
25.96,Americano
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cocoa
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Cappuccino
25.96,Cortado
35.76,Latte
35.76,Latte
25.96,Americano
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Hot Chocolate
25.96,Americano
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Latte
25.96,Americano
35.76,Cappuccino
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
25.96,Americano
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
25.96,Americano
25.96,Cortado
35.76,Latte
35.76,Cappuccino
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
21.06,Espresso
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
25.96,Americano
30.86,Americano with Milk
25.96,Cortado
35.76,Cocoa
25.96,Cortado
35.76,Hot Chocolate
35.76,Latte
25.96,Cortado
35.76,Hot Chocolate
21.06,Espresso
35.76,Cocoa
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
21.06,Espresso
21.06,Espresso
25.96,Americano
35.76,Cocoa
35.76,Cocoa
25.96,Americano
25.96,Americano
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cocoa
35.76,Cappuccino
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
35.76,Cocoa
35.76,Cappuccino
25.96,Americano
35.76,Latte
35.76,Cocoa
25.96,Americano
25.96,Americano
25.96,Americano
25.96,Americano
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
35.76,Hot Chocolate
35.76,Cocoa
30.86,Americano with Milk
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
35.76,Cappuccino
30.86,Americano with Milk
25.96,Americano
35.76,Cocoa
35.76,Cappuccino
35.76,Cocoa
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
30.86,Americano with Milk
21.06,Espresso
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Cappuccino
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
35.76,Cappuccino
25.96,Cortado
30.86,Americano with Milk
35.76,Cappuccino
25.96,Cortado
21.06,Espresso
30.86,Americano with Milk
25.96,Cortado
35.76,Cappuccino
35.76,Cappuccino
35.76,Cappuccino
35.76,Latte
25.96,Americano
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
35.76,Latte
35.76,Cocoa
35.76,Hot Chocolate
25.96,Cortado
30.86,Americano with Milk
25.96,Cortado
25.96,Cortado
35.76,Latte
25.96,Cortado
35.76,Cappuccino
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Hot Chocolate
35.76,Cocoa
25.96,Cortado
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
35.76,Latte
25.96,Cortado
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
35.76,Hot Chocolate
25.96,Cortado
35.76,Hot Chocolate
35.76,Latte
21.06,Espresso
35.76,Cappuccino
35.76,Latte
35.76,Latte
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
25.96,Americano
35.76,Cappuccino
35.76,Cocoa
35.76,Cocoa
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
35.76,Cappuccino
21.06,Espresso
25.96,Americano
25.96,Cortado
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
25.96,Americano
30.86,Americano with Milk
35.76,Cocoa
25.96,Cortado
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Latte
35.76,Cappuccino
25.96,Cortado
21.06,Espresso
25.96,Americano
25.96,Cortado
21.06,Espresso
25.96,Cortado
35.76,Hot Chocolate
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
35.76,Hot Chocolate
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
35.76,Cappuccino
25.96,Cortado
35.76,Cappuccino
25.96,Cortado
35.76,Cocoa
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
30.86,Americano with Milk
21.06,Espresso
25.96,Americano
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
25.96,Cortado
25.96,Cortado
25.96,Americano
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Cappuccino
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
25.96,Americano
25.96,Americano
35.76,Latte
25.96,Cortado
25.96,Americano
35.76,Cappuccino
35.76,Cocoa
30.86,Americano with Milk
35.76,Cappuccino
35.76,Cappuccino
25.96,Cortado
25.96,Americano
35.76,Latte
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
25.96,Americano
35.76,Cappuccino
35.76,Cocoa
35.76,Cocoa
30.86,Americano with Milk
35.76,Latte
25.96,Cortado
35.76,Cappuccino
25.96,Americano
35.76,Latte
30.86,Americano with Milk
21.06,Espresso
35.76,Latte
30.86,Americano with Milk
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Hot Chocolate
25.96,Americano
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
25.96,Cortado
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Latte
21.06,Espresso
35.76,Latte
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
25.96,Americano
35.76,Cappuccino
35.76,Latte
35.76,Cappuccino
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
35.76,Latte
35.76,Latte
35.76,Cappuccino
35.76,Hot Chocolate
35.76,Hot Chocolate
25.96,Cortado
35.76,Cocoa
35.76,Latte
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
35.76,Cocoa
35.76,Cocoa
35.76,Hot Chocolate
35.76,Hot Chocolate
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Latte
35.76,Hot Chocolate
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
25.96,Americano
25.96,Cortado
30.86,Americano with Milk
35.76,Hot Chocolate
35.76,Cappuccino
35.76,Cappuccino
35.76,Latte
35.76,Cocoa
25.96,Cortado
30.86,Americano with Milk
25.96,Americano
35.76,Hot Chocolate
35.76,Latte
35.76,Latte
25.96,Americano
21.06,Espresso
30.86,Americano with Milk
35.76,Cocoa
30.86,Americano with Milk
35.76,Cappuccino
35.76,Latte
30.86,Americano with Milk
35.76,Cappuccino
25.96,Cortado
35.76,Cocoa
25.96,Americano
35.76,Cocoa
35.76,Hot Chocolate
35.76,Latte
35.76,Cappuccino
35.76,Cappuccino
25.96,Americano
25.96,Americano
21.06,Espresso
25.96,Cortado
25.96,Americano
35.76,Cappuccino
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
30.86,Americano with Milk
35.76,Latte
35.76,Latte
35.76,Latte
35.76,Latte
25.96,Americano
30.86,Americano with Milk
25.96,Americano
35.76,Cocoa
25.96,Cortado
25.96,Americano
35.76,Latte
35.76,Cappuccino
25.96,Americano
25.96,Americano
30.86,Americano with Milk
21.06,Espresso
30.86,Americano with Milk
30.86,Americano with Milk
25.96,Cortado
35.76,Hot Chocolate
25.96,Americano
30.86,Americano with Milk
35.76,Hot Chocolate
30.86,Americano with Milk
25.96,Cortado
25.96,Americano
30.86,Americano with Milk
